FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
10	10	0.1307	27.97	40.4	2.35	3.26	5.33
12	10	0.135	28.79	36.86	2.22	3.13	5.23
14	10	0.1395	29.59	33.28	2.1	3	5.12
16	10	0.144	30.37	29.64	1.97	2.87	5
18	10	0.1485	31.06	26.11	1.84	2.74	4.89
20	10	0.1526	31.67	22.69	1.71	2.62	4.78
25	10	0.1632	33.21	14.25	1.38	2.29	4.48
30	10	0.1732	34.61	7.14	1.1	2	4.22
35	10	0.1827	35.9	1.78	0.85	1.75	3.99
40	10	0.1911	36.98	0.15	0.69	1.58	3.85
45	10	0.1994	37.99	0	0.56	1.44	3.73
50	10	0.2077	38.99	0	0.44	1.31	3.63
55	10	0.2157	39.77	0	0.35	1.21	3.54
60	10	0.2245	40.7	0	0.26	1.1	3.45
5	12	0.1051	22.73	51.17	2.74	3.53	5.38
6	12	0.1224	26.29	45.19	2.45	3.28	5.15
7	12	0.1254	26.89	42.89	2.37	3.19	5.09
8	12	0.1275	27.32	41.13	2.31	3.13	5.04
9	12	0.1297	27.75	39.37	2.25	3.07	4.99
10	12	0.1319	28.19	37.55	2.19	3	4.94
12	12	0.1366	29.05	33.83	2.06	2.87	4.82
14	12	0.1412	29.86	30.13	1.92	2.73	4.71
16	12	0.1459	30.63	26.45	1.78	2.59	4.58
18	12	0.1504	31.31	22.87	1.65	2.45	4.46
20	12	0.1548	31.95	19.39	1.51	2.32	4.34
25	12	0.1657	33.51	11.05	1.18	1.98	4.03
30	12	0.1757	34.9	4.15	0.9	1.69	3.77
35	12	0.1851	36.14	0.64	0.68	1.47	3.58
40	12	0.1939	37.27	0	0.53	1.31	3.44
45	12	0.2023	38.26	0	0.41	1.17	3.32
50	12	0.2108	39.17	0	0.31	1.06	3.23
55	12	0.2201	40.02	0	0.22	0.95	3.14
60	12	0.224	40.45	0	0.19	0.9	3.11
5	-12	0.0784	17.27	81.89	4.27	5.99	9.52
6	-12	0.0976	21.23	77.13	4.12	5.95	9.49
7	-12	0.1193	25.71	71.24	3.92	5.86	9.42
8	-12	0.1208	26.04	69.95	3.9	5.85	9.42
9	-12	0.1221	26.31	68.81	3.88	5.83	9.41
10	-12	0.1235	26.61	67.59	3.85	5.81	9.4
12	-12	0.1263	27.21	65.05	3.81	5.77	9.38
14	-12	0.1293	27.82	62.39	3.76	5.72	9.36
16	-12	0.1324	28.44	59.61	3.7	5.67	9.33
18	-12	0.1355	29.06	56.71	3.64	5.62	9.29
20	-12	0.1389	29.7	53.64	3.57	5.55	9.25
25	-12	0.1473	31.2	45.91	3.38	5.38	9.13
30	-12	0.1562	32.44	38.29	3.18	5.2	8.98
35	-12	0.1655	33.7	30.64	2.95	4.99	8.8
40	-12	0.1749	34.99	23.19	2.7	4.76	8.6
45	-12	0.1838	36.16	16.52	2.46	4.54	8.41
50	-12	0.1916	37.25	11.04	2.25	4.35	8.24
55	-12	0.1989	38.28	5.86	2.05	4.16	8.08
60	-12	0.2055	39.27	2.52	1.88	4	7.95
5	-10	0.087	19.02	77.74	4.11	5.79	9.19
6	-10	0.1064	23.03	72.91	3.93	5.72	9.13
7	-10	0.1201	25.85	68.72	3.79	5.65	9.07
8	-10	0.1215	26.16	67.48	3.77	5.63	9.07
9	-10	0.1229	26.47	66.23	3.75	5.61	9.05
10	-10	0.1244	26.78	64.93	3.72	5.58	9.04
12	-10	0.1275	27.43	62.22	3.67	5.54	9.02
14	-10	0.1306	28.05	59.47	3.61	5.48	8.99
16	-10	0.1339	28.72	56.49	3.54	5.42	8.95
18	-10	0.1372	29.34	53.55	3.48	5.36	8.91
20	-10	0.1407	30	50.39	3.4	5.29	8.86
25	-10	0.1493	31.44	42.62	3.2	5.11	8.72
30	-10	0.1583	32.74	34.85	2.98	4.91	8.55
35	-10	0.1677	34.02	27.21	2.74	4.69	8.36
40	-10	0.177	35.31	19.89	2.48	4.45	8.15
45	-10	0.1855	36.47	13.72	2.25	4.23	7.96
50	-10	0.1923	37.48	8.31	2.05	4.04	7.8
55	-10	0.2024	38.82	3.62	1.84	3.84	7.63
60	-10	0.2063	39.55	1.37	1.7	3.71	7.52
5	-8	0.0882	19.27	75.44	4	5.6	8.86
6	-8	0.1114	24.05	69.66	3.77	5.5	8.77
7	-8	0.1207	25.98	66.22	3.67	5.43	8.72
8	-8	0.1222	26.3	64.95	3.64	5.41	8.71
9	-8	0.1237	26.63	63.62	3.61	5.38	8.69
10	-8	0.1253	26.96	62.26	3.59	5.36	8.68
12	-8	0.1285	27.62	59.45	3.53	5.3	8.65
14	-8	0.1319	28.29	56.52	3.46	5.24	8.61
16	-8	0.1353	28.96	53.49	3.39	5.17	8.57
18	-8	0.139	29.64	50.32	3.31	5.1	8.51
20	-8	0.1426	30.29	47.13	3.23	5.02	8.46
25	-8	0.1515	31.73	39.21	3.01	4.82	8.3
30	-8	0.1605	33.06	31.38	2.78	4.61	8.11
35	-8	0.17	34.37	23.77	2.52	4.37	7.91
40	-8	0.179	35.64	16.63	2.26	4.12	7.69
45	-8	0.1871	36.78	10.91	2.05	3.92	7.52
50	-8	0.1942	37.81	5.53	1.84	3.72	7.35
55	-8	0.2026	39.03	2.06	1.66	3.54	7.2
60	-8	0.2088	39.88	0.58	1.52	3.41	7.09
5	-6	0.0904	19.72	72.88	3.87	5.4	8.52
6	-6	0.1145	24.69	66.84	3.63	5.28	8.41
7	-6	0.1214	26.12	63.73	3.54	5.21	8.36
8	-6	0.123	26.45	62.39	3.51	5.18	8.35
9	-6	0.1246	26.8	60.99	3.48	5.15	8.33
10	-6	0.1263	27.16	59.52	3.45	5.12	8.31
12	-6	0.1297	27.84	56.62	3.38	5.06	8.27
14	-6	0.1333	28.55	53.5	3.3	4.99	8.23
16	-6	0.1369	29.23	50.41	3.23	4.91	8.17
18	-6	0.1406	29.9	47.19	3.14	4.83	8.12
20	-6	0.1445	30.59	43.87	3.05	4.75	8.05
25	-6	0.1535	31.99	35.91	2.82	4.54	7.87
30	-6	0.1627	33.35	28.02	2.57	4.3	7.67
35	-6	0.172	34.68	20.45	2.31	4.05	7.45
40	-6	0.1807	35.94	13.78	2.06	3.81	7.24
45	-6	0.1889	37.11	8.06	1.84	3.6	7.06
50	-6	0.1973	38.15	3.35	1.64	3.41	6.9
55	-6	0.2051	39.14	1.08	1.48	3.26	6.77
60	-6	0.2126	39.98	0.14	1.36	3.14	6.67
5	-4	0.0965	20.96	69.36	3.71	5.18	8.16
6	-4	0.12	25.8	62.99	3.45	5.02	8.02
7	-4	0.1221	26.25	61.23	3.41	4.98	8
8	-4	0.1238	26.61	59.82	3.38	4.95	7.98
9	-4	0.1255	26.97	58.35	3.34	4.92	7.96
10	-4	0.1273	27.34	56.8	3.3	4.89	7.94
12	-4	0.1309	28.06	53.76	3.23	4.81	7.89
14	-4	0.1346	28.78	50.57	3.15	4.73	7.84
16	-4	0.1385	29.49	47.3	3.06	4.65	7.78
18	-4	0.1424	30.19	43.99	2.97	4.56	7.71
20	-4	0.1464	30.87	40.61	2.87	4.47	7.63
25	-4	0.1557	32.27	32.56	2.63	4.24	7.44
30	-4	0.1652	33.66	24.62	2.36	3.99	7.22
35	-4	0.1745	35.02	17.12	2.09	3.73	6.99
40	-4	0.1834	36.26	10.88	1.85	3.5	6.79
45	-4	0.1921	37.44	5.18	1.63	3.28	6.6
50	-4	0.2002	38.53	1.69	1.44	3.1	6.45
55	-4	0.2079	39.51	0.4	1.31	2.96	6.34
60	-4	0.2157	40.32	0	1.19	2.85	6.25
5	-2	0.099	21.46	66.7	3.58	4.97	7.81
6	-2	0.1207	25.96	60.41	3.32	4.8	7.66
7	-2	0.1228	26.4	58.71	3.28	4.76	7.64
8	-2	0.1246	26.77	57.22	3.24	4.72	7.61
9	-2	0.1265	27.16	55.63	3.2	4.68	7.59
10	-2	0.1283	27.52	54.1	3.16	4.65	7.56
12	-2	0.1322	28.28	50.87	3.08	4.56	7.51
14	-2	0.1361	29.03	47.56	2.99	4.48	7.44
16	-2	0.1401	29.76	44.19	2.89	4.38	7.37
18	-2	0.1443	30.49	40.73	2.79	4.28	7.29
20	-2	0.1484	31.13	37.37	2.69	4.19	7.21
25	-2	0.158	32.56	29.2	2.43	3.94	7
30	-2	0.1678	33.98	21.25	2.15	3.68	6.77
35	-2	0.1774	35.34	13.98	1.87	3.41	6.53
40	-2	0.1863	36.58	7.96	1.64	3.18	6.34
45	-2	0.195	37.83	2.99	1.42	2.97	6.15
50	-2	0.2033	38.75	0.78	1.27	2.81	6.02
55	-2	0.2114	39.72	0	1.14	2.68	5.91
60	-2	0.2193	40.59	0	1.03	2.57	5.82
5	0	0.1032	22.34	63.66	3.42	4.74	7.44
6	0	0.1213	26.07	57.99	3.19	4.57	7.3
7	0	0.1236	26.54	56.18	3.14	4.53	7.27
8	0	0.1255	26.95	54.56	3.1	4.49	7.24
9	0	0.1275	27.34	52.94	3.06	4.44	7.21
10	0	0.1294	27.72	51.33	3.01	4.4	7.18
12	0	0.1335	28.53	47.91	2.92	4.31	7.12
14	0	0.1377	29.3	44.47	2.82	4.21	7.04
16	0	0.1419	30.05	40.99	2.71	4.11	6.96
18	0	0.1462	30.75	37.52	2.61	4.01	6.88
20	0	0.1503	31.38	34.12	2.5	3.9	6.79
25	0	0.1604	32.87	25.8	2.22	3.64	6.56
30	0	0.1704	34.31	17.88	1.93	3.36	6.31
35	0	0.1801	35.65	11.04	1.67	3.1	6.08
40	0	0.1894	36.92	5.01	1.43	2.86	5.87
45	0	0.1982	38.05	1.45	1.24	2.67	5.71
50	0	0.2064	39.07	0.21	1.09	2.52	5.59
55	0	0.2145	40.01	0	0.97	2.4	5.49
60	0	0.2227	40.85	0	0.87	2.29	5.4
5	2	0.1053	22.76	61.14	3.29	4.53	7.08
6	2	0.1219	26.19	55.55	3.06	4.35	6.94
7	2	0.1244	26.7	53.58	3	4.3	6.9
8	2	0.1264	27.12	51.91	2.96	4.25	6.87
9	2	0.1284	27.52	50.26	2.91	4.2	6.84
10	2	0.1305	27.93	48.53	2.86	4.15	6.8
12	2	0.1348	28.75	45.02	2.76	4.05	6.72
14	2	0.1392	29.54	41.46	2.65	3.94	6.64
16	2	0.1437	30.33	37.82	2.54	3.83	6.55
18	2	0.1482	31.02	34.3	2.42	3.72	6.45
20	2	0.1523	31.63	30.9	2.31	3.62	6.36
25	2	0.1628	33.16	22.47	2.02	3.33	6.11
30	2	0.1732	34.64	14.52	1.71	3.03	5.84
35	2	0.183	35.98	8.06	1.46	2.78	5.62
40	2	0.1925	37.23	2.77	1.23	2.55	5.42
45	2	0.2012	38.36	0.54	1.06	2.38	5.28
50	2	0.2097	39.35	0	0.93	2.24	5.16
55	2	0.2183	40.25	0	0.81	2.12	5.07
60	2	0.2269	41.16	0	0.71	2.01	4.98
5	4	0.1069	23.08	58.73	3.16	4.31	6.73
6	4	0.1225	26.31	53.12	2.93	4.12	6.57
7	4	0.1252	26.86	50.98	2.86	4.06	6.53
8	4	0.1274	27.3	49.22	2.81	4.01	6.49
9	4	0.1295	27.72	47.5	2.76	3.96	6.45
10	4	0.1317	28.15	45.69	2.71	3.9	6.41
12	4	0.1363	29.01	41.98	2.59	3.79	6.32
14	4	0.1409	29.82	38.3	2.48	3.67	6.23
16	4	0.1456	30.59	34.63	2.35	3.55	6.13
18	4	0.1501	31.27	31.06	2.23	3.44	6.03
20	4	0.1544	31.9	27.6	2.12	3.32	5.92
25	4	0.1654	33.48	19.05	1.8	3.01	5.65
30	4	0.1759	34.95	11.5	1.51	2.72	5.39
35	4	0.186	36.32	5.03	1.25	2.46	5.16
40	4	0.1956	37.54	1.24	1.04	2.25	4.98
45	4	0.2044	38.63	0.03	0.89	2.09	4.85
50	4	0.2131	39.61	0	0.76	1.96	4.74
55	4	0.222	40.53	0	0.65	1.84	4.64
60	4	0.2307	41.44	0	0.55	1.73	4.56
5	6	0.1075	23.21	56.58	3.04	4.1	6.38
6	6	0.1231	26.41	50.75	2.79	3.9	6.21
7	6	0.1261	27.03	48.35	2.72	3.82	6.15
8	6	0.1283	27.47	46.57	2.67	3.77	6.11
9	6	0.1307	27.93	44.7	2.61	3.71	6.07
10	6	0.1331	28.39	42.75	2.55	3.65	6.02
12	6	0.1379	29.26	38.95	2.43	3.52	5.92
14	6	0.1426	30.09	35.21	2.3	3.4	5.82
16	6	0.1475	30.86	31.42	2.17	3.27	5.71
18	6	0.1521	31.53	27.84	2.04	3.15	5.6
20	6	0.1567	32.19	24.26	1.92	3.02	5.48
25	6	0.168	33.8	15.68	1.59	2.69	5.19
30	6	0.1788	35.27	8.45	1.3	2.41	4.94
35	6	0.1891	36.65	2.63	1.04	2.15	4.71
40	6	0.1986	37.84	0.4	0.86	1.96	4.55
45	6	0.2078	38.93	0	0.72	1.81	4.43
50	6	0.2165	39.86	0	0.61	1.68	4.32
55	6	0.2258	40.81	0	0.5	1.56	4.23
60	6	0.2348	41.68	0	0.41	1.46	4.14
5	8	0.1074	23.2	54.6	2.93	3.9	6.04
6	8	0.1235	26.49	48.45	2.67	3.67	5.84
7	8	0.1271	27.21	45.68	2.58	3.58	5.78
8	8	0.1294	27.67	43.81	2.52	3.52	5.73
9	8	0.132	28.16	41.78	2.45	3.45	5.68
10	8	0.1344	28.61	39.89	2.39	3.39	5.63
12	8	0.1395	29.53	35.89	2.25	3.25	5.51
14	8	0.1445	30.37	31.98	2.12	3.11	5.4
16	8	0.1496	31.13	28.17	1.98	2.98	5.28
18	8	0.1543	31.8	24.53	1.85	2.85	5.16
20	8	0.159	32.48	20.9	1.71	2.71	5.04
25	8	0.1707	34.13	12.38	1.37	2.38	4.73
30	8	0.1818	35.62	5.35	1.09	2.09	4.48
35	8	0.1919	36.94	1.1	0.86	1.85	4.27
40	8	0.2018	38.13	0	0.7	1.68	4.13
45	8	0.2109	39.17	0	0.57	1.54	4.01
50	8	0.2213	40.14	0	0.45	1.41	3.9
55	8	0.2305	41.12	0	0.35	1.29	3.81
60	8	0.2387	41.96	0	0.27	1.19	3.73
5	10	0.1064	22.99	52.85	2.83	3.71	5.71
6	10	0.1237	26.53	46.31	2.54	3.46	5.48
7	10	0.128	27.38	43.02	2.43	3.34	5.4
8	10	0.1306	27.88	41.01	2.37	3.27	5.35
9	10	0.1333	28.39	38.89	2.29	3.2	5.29
10	10	0.1359	28.87	36.85	2.22	3.13	5.23
12	10	0.1412	29.8	32.77	2.08	2.98	5.1
14	10	0.1464	30.62	28.84	1.94	2.83	4.98
16	10	0.1517	31.4	24.89	1.79	2.69	4.85
18	10	0.1566	32.1	21.17	1.65	2.55	4.72
20	10	0.1615	32.8	17.49	1.5	2.4	4.59
25	10	0.1735	34.45	9.26	1.17	2.07	4.29
30	10	0.1847	35.94	2.68	0.89	1.78	4.03
35	10	0.1952	37.25	0.28	0.69	1.56	3.85
40	10	0.2051	38.43	0	0.53	1.4	3.71
45	10	0.2151	39.44	0	0.41	1.26	3.6
50	10	0.2242	40.44	0	0.31	1.14	3.5
55	10	0.2347	41.59	0	0.2	1.02	3.4
60	10	0.2407	41.84	0	0.18	0.97	3.37
5	12	0.106	22.9	50.96	2.73	3.52	5.37
6	12	0.1239	26.57	44.17	2.42	3.24	5.13
7	12	0.1292	27.59	40.22	2.28	3.1	5.02
8	12	0.1319	28.12	38.07	2.21	3.02	4.96
9	12	0.1346	28.61	36.03	2.13	2.94	4.89
10	12	0.1375	29.13	33.81	2.05	2.86	4.83
12	12	0.143	30.08	29.59	1.9	2.7	4.69
14	12	0.1486	30.92	25.49	1.74	2.54	4.55
16	12	0.1538	31.67	21.61	1.59	2.4	4.42
18	12	0.159	32.4	17.77	1.44	2.24	4.28
20	12	0.1642	33.12	14.04	1.29	2.09	4.14
25	12	0.1765	34.79	6.09	0.96	1.75	3.83
30	12	0.1878	36.26	1.04	0.7	1.48	3.59
35	12	0.1984	37.56	0	0.52	1.29	3.43
40	12	0.2094	38.71	0	0.38	1.13	3.3
45	12	0.2188	39.66	0	0.27	1	3.19
50	12	0.2272	40.61	0	0.19	0.9	3.11
55	12	0.233	40.82	0	0.18	0.87	3.1
60	12	0.2377	41.18	0	0.18	0.85	3.09
5	-12	0.0977	21.21	77.05	4.12	5.95	9.5
6	-12	0.1197	25.76	71.14	3.92	5.86	9.43
7	-12	0.1215	26.14	69.64	3.89	5.84	9.42
8	-12	0.1231	26.47	68.33	3.87	5.82	9.41
9	-12	0.1247	26.82	66.92	3.84	5.8	9.4
10	-12	0.1265	27.19	65.4	3.81	5.77	9.39
12	-12	0.1298	27.86	62.51	3.76	5.72	9.37
14	-12	0.1335	28.59	59.33	3.69	5.66	9.33
16	-12	0.1372	29.29	56.16	3.62	5.6	9.3
18	-12	0.141	29.97	52.92	3.55	5.53	9.25
20	-12	0.1448	30.64	49.65	3.47	5.46	9.2
25	-12	0.1539	32.03	41.73	3.27	5.28	9.06
30	-12	0.163	33.39	33.83	3.04	5.07	8.88
35	-12	0.1726	34.76	26.13	2.79	4.84	8.68
40	-12	0.1818	36.08	19.11	2.53	4.6	8.48
45	-12	0.19	37.25	13.28	2.31	4.4	8.31
50	-12	0.1982	38.36	8.02	2.11	4.2	8.14
55	-12	0.2064	39.41	3.68	1.91	4.02	7.99
60	-12	0.214	40.41	1.42	1.76	3.87	7.87
5	-10	0.0991	21.48	74.7	4	5.75	9.16
6	-10	0.1202	25.86	68.77	3.79	5.65	9.08
7	-10	0.1222	26.28	67.14	3.76	5.62	9.07
8	-10	0.1239	26.63	65.74	3.74	5.6	9.06
9	-10	0.1256	26.99	64.26	3.71	5.57	9.04
10	-10	0.1275	27.38	62.68	3.68	5.54	9.03
12	-10	0.1311	28.08	59.64	3.61	5.48	9
14	-10	0.1348	28.81	56.44	3.54	5.42	8.96
16	-10	0.1387	29.52	53.17	3.47	5.35	8.91
18	-10	0.1426	30.22	49.84	3.38	5.27	8.86
20	-10	0.1468	30.91	46.41	3.3	5.19	8.8
25	-10	0.1561	32.31	38.37	3.08	5	8.63
30	-10	0.1656	33.71	30.42	2.83	4.77	8.44
35	-10	0.175	35.06	22.93	2.58	4.53	8.24
40	-10	0.1843	36.37	16.08	2.32	4.29	8.03
45	-10	0.1929	37.55	10.5	2.11	4.09	7.86
50	-10	0.2015	38.7	5.28	1.9	3.88	7.69
55	-10	0.2099	39.8	2.07	1.72	3.71	7.55
60	-10	0.217	40.83	0.6	1.58	3.58	7.44
5	-8	0.1023	22.15	71.89	3.87	5.54	8.81
6	-8	0.1211	26.02	66.18	3.67	5.43	8.72
7	-8	0.123	26.42	64.61	3.64	5.4	8.71
8	-8	0.1247	26.79	63.14	3.6	5.37	8.69
9	-8	0.1267	27.19	61.52	3.57	5.34	8.68
10	-8	0.1285	27.55	60	3.54	5.31	8.66
12	-8	0.1324	28.34	56.67	3.46	5.24	8.62
14	-8	0.1363	29.06	53.42	3.38	5.17	8.57
16	-8	0.1405	29.82	49.94	3.3	5.09	8.51
18	-8	0.1446	30.53	46.52	3.21	5	8.45
20	-8	0.1487	31.17	43.16	3.12	4.92	8.39
25	-8	0.1584	32.6	35	2.88	4.7	8.2
30	-8	0.1682	34.03	27.04	2.63	4.46	8
35	-8	0.1779	35.4	19.61	2.36	4.21	7.78
40	-8	0.1872	36.71	13.21	2.11	3.98	7.58
45	-8	0.1966	37.77	7.74	1.9	3.77	7.41
50	-8	0.2052	38.94	3.25	1.7	3.58	7.24
55	-8	0.2138	39.89	1.08	1.55	3.43	7.12
60	-8	0.224	41.03	0.07	1.4	3.28	7.01
5	-6	0.1052	22.73	69.15	3.73	5.33	8.46
6	-6	0.1217	26.15	63.7	3.54	5.21	8.37
7	-6	0.1237	26.56	62.1	3.5	5.17	8.35
8	-6	0.1256	26.96	60.51	3.47	5.14	8.33
9	-6	0.1277	27.37	58.81	3.43	5.1	8.31
10	-6	0.1296	27.75	57.22	3.39	5.07	8.29
12	-6	0.1338	28.57	53.75	3.31	4.99	8.23
14	-6	0.138	29.34	50.29	3.22	4.91	8.18
16	-6	0.1421	30.07	46.88	3.13	4.82	8.11
18	-6	0.1465	30.8	43.31	3.03	4.73	8.04
20	-6	0.1507	31.42	39.91	2.94	4.64	7.97
25	-6	0.1607	32.9	31.63	2.68	4.41	7.77
30	-6	0.1709	34.35	23.67	2.41	4.15	7.55
35	-6	0.1809	35.75	16.33	2.14	3.88	7.32
40	-6	0.1903	37.03	10.32	1.91	3.66	7.13
45	-6	0.1996	38.25	4.79	1.68	3.44	6.94
50	-6	0.2084	39.34	1.63	1.5	3.27	6.79
55	-6	0.2166	40.29	0.39	1.37	3.13	6.69
60	-6	0.2249	41.2	0	1.25	3.01	6.59
5	-4	0.1062	22.94	66.92	3.61	5.12	8.11
6	-4	0.1221	26.23	61.42	3.41	4.99	8.01
7	-4	0.1245	26.73	59.48	3.37	4.94	7.98
8	-4	0.1266	27.15	57.79	3.33	4.91	7.96
9	-4	0.1286	27.55	56.14	3.29	4.87	7.93
10	-4	0.1307	27.97	54.4	3.25	4.83	7.91
12	-4	0.135	28.79	50.87	3.15	4.74	7.85
14	-4	0.1395	29.58	47.29	3.06	4.65	7.78
16	-4	0.144	30.37	43.62	2.95	4.55	7.7
18	-4	0.1485	31.07	40.08	2.85	4.45	7.63
20	-4	0.1526	31.67	36.7	2.75	4.36	7.55
25	-4	0.1632	33.2	28.25	2.48	4.1	7.33
30	-4	0.1737	34.69	20.3	2.2	3.83	7.09
35	-4	0.1839	36.09	13.31	1.93	3.57	6.86
40	-4	0.1935	37.38	7.4	1.69	3.34	6.67
45	-4	0.2029	38.6	2.79	1.48	3.13	6.49
50	-4	0.2118	39.61	0.7	1.32	2.97	6.36
55	-4	0.2207	40.56	0	1.19	2.84	6.25
60	-4	0.2295	41.58	0	1.07	2.72	6.16
5	-2	0.1081	23.34	64.43	3.48	4.91	7.76
6	-2	0.1227	26.35	58.97	3.28	4.76	7.64
7	-2	0.1254	26.89	56.87	3.23	4.71	7.61
8	-2	0.1276	27.33	55.1	3.19	4.67	7.58
9	-2	0.1297	27.75	53.37	3.14	4.63	7.56
10	-2	0.132	28.21	51.48	3.09	4.58	7.52
12	-2	0.1366	29.05	47.81	2.99	4.48	7.45
14	-2	0.1412	29.87	44.1	2.89	4.38	7.37
16	-2	0.1459	30.64	40.43	2.78	4.27	7.29
18	-2	0.1505	31.32	36.84	2.67	4.17	7.2
20	-2	0.1548	31.95	33.38	2.56	4.07	7.12
25	-2	0.1658	33.54	24.81	2.27	3.79	6.87
30	-2	0.1766	35.04	16.95	1.97	3.5	6.62
35	-2	0.1869	36.43	10.33	1.72	3.25	6.41
40	-2	0.1969	37.75	4.42	1.47	3.01	6.2
45	-2	0.2064	38.92	1.32	1.29	2.82	6.04
50	-2	0.2154	39.92	0.16	1.15	2.68	5.93
55	-2	0.2249	40.94	0	1.02	2.55	5.82
60	-2	0.2339	41.82	0	0.91	2.43	5.73
5	0	0.1088	23.48	62.25	3.36	4.7	7.4
6	0	0.1233	26.46	56.56	3.15	4.54	7.28
7	0	0.1263	27.06	54.23	3.09	4.48	7.24
8	0	0.1286	27.52	52.37	3.04	4.43	7.21
9	0	0.1309	27.96	50.56	2.99	4.38	7.17
10	0	0.1333	28.43	48.59	2.94	4.32	7.13
12	0	0.1382	29.31	44.77	2.83	4.22	7.05
14	0	0.143	30.15	40.95	2.71	4.1	6.96
16	0	0.1479	30.9	37.22	2.6	3.99	6.87
18	0	0.1525	31.58	33.62	2.48	3.88	6.78
20	0	0.1571	32.24	30.03	2.36	3.77	6.68
25	0	0.1685	33.86	21.44	2.06	3.47	6.42
30	0	0.1796	35.39	13.68	1.75	3.18	6.16
35	0	0.1901	36.79	7.3	1.5	2.93	5.94
40	0	0.2004	38.08	2.43	1.27	2.7	5.75
45	0	0.2099	39.21	0.47	1.11	2.53	5.61
50	0	0.2194	40.23	0	0.97	2.39	5.49
55	0	0.2287	41.21	0	0.85	2.26	5.39
60	0	0.2378	42.05	0	0.75	2.15	5.3
5	2	0.1091	23.54	60.17	3.24	4.49	7.06
6	2	0.1238	26.56	54.21	3.02	4.31	6.91
7	2	0.1273	27.24	51.55	2.95	4.24	6.86
8	2	0.1296	27.7	49.68	2.9	4.19	6.83
9	2	0.1322	28.2	47.63	2.84	4.13	6.78
10	2	0.1346	28.65	45.74	2.78	4.07	6.74
12	2	0.1398	29.57	41.7	2.66	3.95	6.65
14	2	0.1449	30.42	37.77	2.53	3.83	6.55
16	2	0.15	31.18	33.95	2.41	3.71	6.45
18	2	0.1547	31.85	30.31	2.29	3.59	6.34
20	2	0.1594	32.53	26.66	2.16	3.47	6.24
25	2	0.1713	34.19	18.03	1.84	3.15	5.96
30	2	0.1826	35.73	10.62	1.55	2.86	5.7
35	2	0.1936	37.16	4.23	1.28	2.6	5.47
40	2	0.2038	38.43	1.04	1.08	2.39	5.3
45	2	0.2135	39.53	0	0.93	2.24	5.17
50	2	0.2235	40.57	0	0.8	2.1	5.06
55	2	0.2332	41.52	0	0.69	1.97	4.96
60	2	0.2425	42.3	0	0.59	1.87	4.88
5	4	0.1089	23.5	58.22	3.13	4.29	6.71
6	4	0.1242	26.64	51.92	2.89	4.09	6.55
7	4	0.1283	27.43	48.82	2.8	4	6.49
8	4	0.1308	27.92	46.87	2.74	3.94	6.44
9	4	0.1335	28.43	44.73	2.68	3.87	6.39
10	4	0.1362	28.92	42.67	2.61	3.81	6.34
12	4	0.1415	29.85	38.56	2.48	3.68	6.24
14	4	0.1467	30.66	34.63	2.35	3.55	6.13
16	4	0.1521	31.45	30.66	2.22	3.42	6.02
18	4	0.157	32.14	26.94	2.09	3.29	5.9
20	4	0.162	32.85	23.25	1.95	3.16	5.79
25	4	0.1742	34.55	14.59	1.61	2.82	5.49
30	4	0.1859	36.09	7.5	1.33	2.54	5.24
35	4	0.1971	37.52	2.15	1.08	2.28	5.02
40	4	0.2077	38.75	0.28	0.9	2.09	4.86
45	4	0.2191	39.96	0	0.75	1.93	4.73
50	4	0.2277	40.89	0	0.64	1.81	4.63
55	4	0.2379	41.88	0	0.53	1.69	4.53
60	4	0.2467	42.54	0	0.44	1.59	4.46
5	6	0.1078	23.27	56.5	3.03	4.1	6.38
6	6	0.1244	26.67	49.81	2.77	3.87	6.19
7	6	0.1294	27.63	46.07	2.65	3.75	6.1
8	6	0.1322	28.17	43.91	2.59	3.68	6.05
9	6	0.1348	28.65	41.86	2.52	3.62	6
10	6	0.1378	29.18	39.61	2.45	3.54	5.94
12	6	0.1434	30.13	35.36	2.3	3.4	5.82
14	6	0.149	30.97	31.26	2.16	3.26	5.7
16	6	0.1542	31.72	27.38	2.03	3.13	5.58
18	6	0.1594	32.46	23.52	1.88	2.99	5.46
20	6	0.1646	33.18	19.79	1.74	2.84	5.33
25	6	0.1773	34.91	11.34	1.4	2.5	5.03
30	6	0.1893	36.48	4.31	1.11	2.21	4.77
35	6	0.2005	37.87	0.8	0.89	1.98	4.58
40	6	0.2112	39.04	0	0.73	1.81	4.44
45	6	0.2221	40.25	0	0.59	1.65	4.31
50	6	0.233	41.26	0	0.47	1.52	4.2
55	6	0.2423	42.12	0	0.38	1.41	4.12
60	6	0.2502	42.81	0	0.3	1.33	4.05
5	8	0.1073	23.17	54.62	2.93	3.9	6.04
6	8	0.1245	26.7	47.7	2.64	3.65	5.83
7	8	0.1305	27.85	43.27	2.5	3.5	5.72
8	8	0.1335	28.41	40.98	2.43	3.43	5.66
9	8	0.1365	28.94	38.73	2.35	3.35	5.6
10	8	0.1394	29.45	36.52	2.27	3.27	5.53
12	8	0.1453	30.4	32.16	2.12	3.12	5.4
14	8	0.1513	31.26	27.92	1.97	2.97	5.27
16	8	0.1566	32.02	23.97	1.82	2.82	5.14
18	8	0.1621	32.79	20.05	1.67	2.67	5.01
